cond(DC),cond(Diversity),cond(Position),cond(SMOOTH),cond(DC:Diversity),cond(DC:Position),cond(DC:SMOOTH),cond(Diversity:Position),cond(Diversity:SMOOTH),cond(Position:SMOOTH),cond(DC:Diversity:Position),cond(DC:Diversity:SMOOTH),cond(DC:Position:SMOOTH),cond(Diversity:Position:SMOOTH),cond(DC:Diversity:Position:SMOOTH),df,logLik,AICc
+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,28,-2972.511057,6001.225853
+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,25,-2975.585407,6001.333844
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,34,-2967.046652,6002.392112
+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,31,-2970.096948,6002.442891
+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,28,-2973.265892,6002.735522
NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,22,-2980.848349,6005.823564
+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,20,-2982.918329,6005.941935
+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,17,-2986.146217,6006.369107
+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,23,-2980.725996,6007.590407
+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,26,-2977.781689,6007.739472
+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,20,-2983.851551,6007.808378
+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,40,-2963.919356,6008.250824
+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,22,-2982.270668,6008.6682
+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,19,-2985.325058,6008.745354
+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,43,-2961.521827,6009.519269
+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,37,-2967.634785,6009.622748
+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,46,-2958.746708,6010.03711
+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,24,-2981.164468,6010.479407
NA,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,14,-2991.426452,6010.905503
+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,40,-2965.370264,6011.15264
NA,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,-2992.856498,6011.758576
+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,27,-2978.807165,6011.803994
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,30,-2975.805398,6011.8442
+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,24,-2981.929215,6012.0089
+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,18,-2988.354757,6012.795217
+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,15,-2991.421229,6012.902578
+,+,+,+,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,23,-2983.40106,6012.940534
+,+,+,+,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,32,-2974.47954,6013.224173
+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,52,-2954.552093,6013.797781
+,+,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,31,-2975.928607,6014.106209
+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,23,-2984.152923,6014.444262
+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,35,-2972.084753,6014.48593
+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,26,-2981.173871,6014.523836
+,+,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,29,-2978.197079,6014.612477
+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,38,-2969.179672,6014.731659
+,+,+,+,+,+,+,+,+,+,NA,NA,+,+,NA,55,-2952.055266,6014.88596
NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,18,-2989.497421,6015.080545
+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,58,-2949.113562,6015.088979
+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,28,-2979.627288,6015.458315
+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,34,-2973.624702,6015.548212
+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,32,-2975.851708,6015.96851
+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,31,-2977.335638,6016.920272
NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,12,-2996.692847,6017.424757
+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,36,-2972.567011,6017.46857
+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,39,-2970.160435,6018.712831
+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,33,-2976.276737,6018.835172
+,+,+,+,NA,+,+,+,NA,+,NA,NA,+,NA,NA,44,-2965.21022,6018.918239
+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,42,-2967.240937,6018.935814
+,+,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,43,-2966.670372,6019.81636
+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,30,-2979.797627,6019.828659
+,+,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,35,-2974.801261,6019.918945
+,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,47,-2962.823565,6020.214535
+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,36,-2973.953401,6020.241349
+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,50,-2960.006338,6020.654266
+,+,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,46,-2964.345817,6021.235328
+,+,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,32,-2978.49067,6021.246433
+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,27,-2983.529902,6021.249467
+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,38,-2972.504853,6021.382021
+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,35,-2976.217543,6022.751509
+,+,+,+,NA,+,+,+,+,+,NA,NA,+,NA,NA,48,-2963.261516,6023.114656
+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,51,-2960.87762,6024.422577
+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,54,-2958.04199,6024.83162
+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,42,-2970.520149,6025.494237
+,+,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,47,-2965.555589,6025.678582
+,+,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,50,-2963.240286,6027.122163
+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,55,-2960.116737,6031.008902
+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,58,-2957.153431,6031.168718
+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,52,-2964.042701,6032.778996
+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,70,-2947.446941,6036.147508
+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,67,-2950.677544,6036.503852
+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,51,-2968.774718,6040.216773
+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,54,-2965.767084,6040.281807
+,+,+,+,+,NA,+,+,+,+,NA,+,NA,NA,NA,48,-2972.595121,6041.781866
+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,50,-2971.136995,6042.915581
+,+,+,+,+,NA,+,NA,+,+,NA,+,NA,NA,NA,47,-2974.855947,6044.279298
+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,63,-2959.413529,6045.843188
+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,66,-2956.502558,6046.119953
+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,62,-2961.880738,6048.745726
+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,82,-2942.346972,6050.413282
+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,16,-3101.311303,6234.690752
+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-3105.579676,6235.198416
+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-3102.679432,6235.418985
+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,16,-3102.003464,6236.075073
+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,19,-3099.017404,6236.130045
+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,22,-3096.194187,6236.515238
+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-3103.428921,6236.917963
+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,-3100.508496,6237.102695
NA,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,10,-3109.384596,6238.796729
+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-3109.350031,6240.733112
+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,17,-3103.411216,6240.899104
+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,28,-3092.726242,6241.656222
+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,16,-3104.815501,6241.699147
+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,25,-3095.797986,6241.759003
+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,19,-3101.873909,6241.843057
+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,27,-3094.109412,6242.408489
+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,20,-3101.205871,6242.517019
+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,24,-3097.193066,6242.536603
+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,23,-3098.220457,6242.579328
+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,26,-3095.379124,6242.934342
+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,31,-3090.383899,6243.016795
+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,28,-3093.574889,6243.353516
+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,19,-3102.633851,6243.36294
+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,22,-3099.645856,6243.418576
+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,30,-3091.886956,6244.007317
+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,27,-3094.982268,6244.154199
NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-3114.474817,6244.967654
NA,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,14,-3108.561387,6245.175373
NA,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,13,-3109.942832,6245.931243
+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,26,-3097.857249,6247.890593
+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,32,-3091.906066,6248.077226
+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,29,-3095.000037,6248.218393
+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,31,-3093.285856,6248.820708
+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,28,-3096.389497,6248.982733
+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,35,-3089.600342,6249.517108
+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,32,-3092.781355,6249.827803
+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,38,-3086.775765,6249.923846
+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,34,-3091.100982,6250.500771
+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,31,-3094.178652,6250.6063
+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,47,-3088.179257,6270.925918
+,+,+,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,44,-3091.306328,6271.110457
+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,50,-3085.323832,6271.289254
+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,46,-3089.651495,6271.846685
+,+,+,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,43,-3092.735749,6271.947114
+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,9,-3130.923647,6279.869822
+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,12,-3128.112569,6280.264201
+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-3132.408321,6280.834662
+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-3129.485691,6281.004431
+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,12,-3128.863335,6281.765734
+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,15,-3125.858114,6281.776349
+,+,+,NA,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,18,-3123.025871,6282.137446
+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-3130.289835,6282.612721
+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-3127.340748,6282.734094
NA,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,6,-3136.089271,6284.189051
+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-3136.151803,6286.31762
+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-3133.197375,6286.422288
NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-3141.234235,6290.473474
+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-3521.134051,7064.301151
+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-3519.152033,7066.356665
NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-3525.741836,7067.501693
+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-3524.510098,7069.047735
+,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,15,-3520.426002,7070.912124
NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-3529.131053,7072.276119
+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,18,-3518.459345,7073.004394
+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,23,-3513.473479,7073.085372
NA,+,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,12,-3525.033849,7074.106761
+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,26,-3511.479461,7075.135017
+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,22,-3516.832955,7077.792774
+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,27,-3512.735433,7079.660529
+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,30,-3510.763932,7081.761269
+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,42,-3509.470081,7103.394101
+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-3545.237315,7104.488644
+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-3543.301471,7106.630479
NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-3549.825997,7107.656998
+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-3548.640791,7109.292092
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-3553.190371,7112.383743
